problem,year,Computational Model,model,name
1,1968,sorting network,510,544
1,1968,sorting network,510,545
6,1969,2D mesh,700,696
1,1971,sorting network,510,546
1,1971,sorting network,510,547
1,1972,sorting network,510,548
17,1972,Systolic array,600,635
1,1974,external sorting,610,659
1,1974,external sorting,610,660
1,1975,SIMD; MIMD,200,419
17,1975,MIMD-TC,300,493
9,1975,MIMD-TC CRCW,330,508
1,1975,sorting network,510,549
1,1975,sorting network,510,550
1,1975,Valiant's Parallel Comparison Tree Model,600,611
73,1975,2D array automata,600,654
6,1976,SIMD-SM-R (CREW PRAM?),210,442
13,1976,SIMD-SM-R (CREW PRAM?),210,445
13,1976,SIMD-SM-R (CREW PRAM?),210,446
13,1976,SIMD-SM-R (CREW PRAM?),210,447
62,1976,shared memory MIMD,300,500
1,1977,SIMD-SM ? (no memory fetch conflicts),200,420
1,1977,"similar to ILLIAC IV machine, SIMD, mesh-connected array",200,421
1,1977,"similar to ILLIAC IV machine, SIMD, mesh-connected array",200,422
1,1977,SIMD-SM-R,210,438
1,1977,SIMD-SM-R,210,439
1,1977,SIMD-SM-R ? (memory fetch conflicts),210,440
14,1977,SIMD-SM-R (CREW PRAM?),210,455
17,1977,SIMD-SM-R (CREW PRAM?),210,460
13,1978,PRAM,100,19
13,1978,PRAM,100,20
13,1978,SIMD-SM-R (CREW PRAM?),210,448
13,1978,SIMD-SM-R (CREW PRAM?),210,449
1,1978,hardware sorter,520,593
1,1978,hardware sorter,520,594
1,1978,hardware sorter,520,595
6,1978,interconnected network,700,673
6,1978,interconnected network,700,674
55,1979,EREW PRAM,110,119
1,1979,SIMD,200,423
13,1979,SIMD-SM-R (CREW PRAM?),210,450
13,1979,SIMD-SM CREW,210,451
14,1979,SIMD-SM CREW,210,456
13,1979,MIMD-TC-R,320,507
1,1979,"network sorter; ""compliant with VLSI design""; Cube connected cycles",510,551
1,1979,"""new tree-structured machine suitable for VSLI implementation""",600,612
12,1980,CREW PRAM,120,175
12,1980,CREW PRAM,120,180
54,1980,CREW PRAM,120,233
1,1980,SIMD,200,424
17,1980,MIMD-TC,300,494
1,1980,hardware sorter ?,520,596
1,1980,hardware sorter ?,520,597
1,1980,hardware sorter ?,520,598
1,1980,hardware sorter,520,599
14,1980,tree machine,600,631
15,1980,log-space pyramid cellular automaton,600,633
13,1980,SIMD-SM-R (mesh-connected parallel computer),700,712
1,1981,CREW PRAM,130,270
5,1981,CRCW PRAM,130,299
1,1981,SIMD-R ??,210,441
12,1981,SIMD-SM-R,210,443
12,1981,SIMD-SM-R,210,444
13,1981,SIMD-SM-R (CREW PRAM?),210,452
13,1981,SIMD-SM-R (CREW PRAM?),210,453
14,1981,SIMD-SM-R (CREW PRAM),210,457
14,1981,MIMD-TC,300,488
14,1981,MIMD-TC,300,489
1,1981,sorting network,510,552
1,1981,hardware sorter,520,600
13,1981,Systolic array,600,630
14,1981,Systolic array,600,632
6,1981,SIMD-CC,700,675
6,1981,SIMD-CC,700,676
6,1981,SIMD-CC,700,677
6,1981,SIMD-CC,700,678
6,1981,SIMD-PS,700,679
6,1981,SIMD-PS,700,680
6,1981,SIMD-PS,700,681
17,1981,"SIMD-PS, SIMD-CC",700,716
56,1981,"PRAM (not sure what type), SIMD computers?",700,756
140,1981,MIMD (implied distributed),700,777
140,1981,MIMD (implied distributed),700,778
13,1982,SIMD-SM (EREW PRAM?),110,60
14,1982,SIMD-SM (EREW PRAM),110,74
13,1982,PRAM CREW,120,187
13,1982,PRAM CREW,120,188
13,1982,PRAM CREW,120,189
14,1982,PRAM CREW,120,197
17,1982,PRAM CREW,120,211
12,1982,SIMD with unbounded fan-in?/CRCW PRAM,130,307
13,1982,CRCW PRAM,130,316
13,1982,SIMD-SM-RW (arbitrary-CRCW PRAM),131,390
13,1982,RP-RAM (Arbitrary CRCW),131,391
13,1982,RP-RAM (Arbitrary CRCW),131,392
13,1982,RP-RAM (Arbitrary CRCW),131,393
14,1982,RP-RAM (Arbitrary CRCW),131,395
17,1982,RP-RAM (Arbitrary CRCW),131,400
1,1982,"network sorter, SIMD (Cube connected and perfect shuffle)",200,425
13,1982,SIMD-SM-R (CREW PRAM?),210,454
14,1982,SIMD-SM (CREW PRAM),210,458
14,1982,SIMD-SM-R (CREW PRAM?),210,459
14,1982,SIMD-SM-RW (CRCW PRAM?),220,463
17,1982,SIMD-SM-RW (CRCW PRAM?),220,465
28,1982,CREW PRAM?,330,509
1,1982,hardware sorter,520,601
1,1982,hardware sorter,520,602
2,1983,EREW PRAM,110,46
1,1983,CREW PRAM,120,136
33,1983,CREW PRAM,120,220
3,1983,CRCW PRAM?,130,293
1,1983,"network sorter, SIMD ?",200,426
1,1983,SIMD,200,427
2,1983,"SIMD (synch, CRCW)",220,461
14,1983,MIMD-TC,300,490
1,1983,"""comparator network - deterministic sequence of switches"" ??",510,553
1,1983,sorting network,510,554
1,1983,hardware sorter,520,603
56,1983,SIMD,700,757
14,1984,SIMD PRAM CREW,120,198
58,1984,(SIMD-type) PRAM CREW,120,241
6,1984,CRCW PRAM,130,300
41,1984,CRCW PRAM,130,356
41,1984,CRCW PRAM (ARBITRARY),131,401
62,1984,SIMD,200,437
12,1984,"SIMD (synchronous, CRCW)",220,462
1,1984,MIMD,300,466
1,1984,MIMD,300,467
1,1984,MIMD,300,468
1,1984,sorting network,510,555
66,1984,VLSI,600,653
1,1985,Parallel RAM,100,1
1,1985,PRAM,100,2
13,1985,PRAM-CREW and PRAM-EREW,110,61
1,1985,CREW PRAM,120,137
5,1985,CREW PRAM,120,161
49,1985,CREW PRAM,120,230
54,1985,CREW PRAM,120,234
54,1985,CREW PRAM,120,235
13,1985,PRAM-CRCW,130,317
13,1985,CRCW PRAM,130,318
22,1985,CRCW PRAM,130,344
33,1985,CRCW PRAM,130,349
1,1985,sorting network (serial memories),510,556
1,1985,sorting network (serial memories),510,557
1,1985,sorting network (fault tolerant),510,558
1,1985,hardware sorter ?,520,604
1,1985,network or hardware (VLSI) sorter ?,520,605
4,1985,systolic array,600,624
19,1985,SIMD (ICL DAP),700,721
1,1986,"EREW, CREW PRAM",110,25
2,1986,EREW PRAM,110,47
11,1986,CREW PRAM,120,173
12,1986,CREW PRAM,120,176
14,1986,CREW PRAM,120,199
15,1986,PRAM CREW,120,204
22,1986,CREW PRAM,120,212
28,1986,CREW PRAM,120,216
28,1986,CREW PRAM,120,217
40,1986,CREW PRAM,120,224
40,1986,CREW PRAM,120,225
58,1986,(SIMD-type) PRAM CREW,120,242
58,1986,(SIMD-type) PRAM CREW,120,243
64,1986,CREW PRAM,120,246
64,1986,CREW PRAM,120,247
64,1986,CREW PRAM,120,248
1,1986,CRCW PRAM,130,271
11,1986,CRCW PRAM,130,306
12,1986,CRCW PRAM,130,308
13,1986,PRAM-CRCW,130,319
13,1986,CRCW PRAM,130,320
14,1986,CRCW PRAM,130,326
81,1986,CRCW PRAM,130,367
64,1986,common CRCW PRAM,132,415
14,1986,SM-SIMD (CRCW),220,464
1,1986,"sorting network, suitable for VLSI",510,559
1,1986,sorting network,510,560
1,1987,EREW PRAM,110,26
14,1987,EREW PRAM,110,75
16,1987,EREW PRAM,110,93
5,1987,CREW PRAM,120,163
5,1987,CREW PRAM,120,164
5,1987,CREW PRAM,120,165
12,1987,CREW PRAM,120,181
12,1987,CREW PRAM,120,182
12,1987,CREW PRAM,120,186
13,1987,PRAM-CREW,120,190
28,1987,CREW PRAM?,120,215
54,1987,CREW PRAM,120,236
1,1987,CRCW PRAM,130,272
13,1987,PRAM-CRCW,130,321
14,1987,PRAM-CRCW,130,327
37,1987,CRCW PRAM,130,354
81,1987,CRCW PRAM,130,368
143,1987,CRCW PRAM,130,379
1,1987,MIMD,300,469
9,1987,shared memory,300,486
9,1987,shared memory,300,487
4,1987,one-way two-dimensional iterative array of finite-state machines (2-DIA),600,616
4,1987,systolic array,600,627
6,1987,"distributed memory MIMD, w/ at least a 2D mesh topology",700,697
6,1987,boolean cube (MIMD and SIMD),700,705
14,1987,Shuffle-exchange network,700,714
1,1988,EREW PRAM,110,27
5,1988,EREW PRAM,110,49
5,1988,EREW PRAM,110,50
12,1988,"EREW PRAM, possibly others (see paper)",110,55
15,1988,EREW PRAM,110,92
58,1988,EREW PRAM,110,122
1,1988,CREW PRAM,120,138
3,1988,CREW PRAM,120,149
4,1988,CREW PRAM,120,154
11,1988,CREW PRAM,120,172
12,1988,CREW PRAM,120,177
12,1988,CREW PRAM,120,178
12,1988,CREW PRAM,120,183
14,1988,CREW PRAM,120,200
28,1988,CREW PRAM,120,218
54,1988,CREW PRAM,120,237
57,1988,CREW PRAM,120,239
57,1988,CREW PRAM,120,240
60,1988,CREW PRAM,120,245
64,1988,CREW PRAM,120,249
86,1988,CREW PRAM,120,262
129,1988,CREW PRAM,120,265
145,1988,CREW PRAM (Shared Memory),120,268
145,1988,CREW PRAM (Shared Memory),120,269
4,1988,CRCW PRAM,130,298
6,1988,CRCW PRAM,130,301
14,1988,CRCW PRAM,130,328
23,1988,CRCW PRAM,130,348
81,1988,CRCW PRAM,130,369
1,1988,MIMD + describes comp model w/ assumptions,300,470
1,1988,MIMD,300,471
19,1988,asynch MIMD LC,700,719
20,1988, distributed-memory MIMD,700,726
20,1988, distributed-memory MIMD,700,727
27,1988,MIMD with regular interconnection networks bet proc,700,742
1,1989,Block PRAM,100,3
1,1989,EREW PRAM,110,28
1,1989,PRAC (shared-memory multiprocessor of the EREW PRAM variety),110,29
5,1989,EREW PRAM,110,52
14,1989,EREW PRAM,110,76
11,1989,CREW PRAM,120,168
11,1989,CREW PRAM,120,174
33,1989,CREW PRAM,120,221
1,1989,CRCW PRAM,130,273
1,1989,CRCW PRAM,130,274
1,1989,CRCW PRAM,130,275
1,1989,CRCW PRAM,130,276
1,1989,CRCW PRAM,130,277
22,1989,CRCW PRAM,130,341
22,1989,CRCW PRAM,130,343
22,1989,CRCW PRAM,130,345
33,1989,CRCW PRAM,130,350
12,1989,common CRCW PRAM,132,411
12,1989,EREW SM SIMD computer,200,432
1,1989,sorting network,510,561
1,1989,sorting network,510,562
1,1989,sorting network,510,563
1,1989,sorting network (hypercube),510,564
1,1989,sorting network (hypercube),510,565
1,1989,sorting network (hypercube),510,566
1,1989,sorting network,510,567
9,1989,Systolic array,600,629
5,1989,Communication network,700,672
6,1989,2D mesh,700,695
48,1989,SIMD,700,754
1,1990,EREW PRAM,110,30
1,1990,"EREW PRAM, MIMD machine",110,31
1,1990,EREW PRAM,110,32
1,1990,EREW PRAM,110,33
38,1990,EREW PRAM,110,115
40,1990,EREW PRAM,110,116
142,1990,EREW PRAM,110,134
3,1990,CREW PRAM,120,150
4,1990,CREW PRAM,120,155
4,1990,CREW PRAM,120,157
6,1990,LPRAM,120,167
13,1990,PRAM-CREW,120,191
13,1990,PRAM CREW,120,192
23,1990,CREW PRAM,120,214
38,1990,CREW PRAM,120,222
38,1990,CREW PRAM,120,223
64,1990,CREW PRAM,120,250
143,1990,CREW PRAM,120,267
1,1990,CRCW PRAM,130,278
1,1990,CRCW PRAM,130,279
1,1990,CRCW PRAM (assuming O(1) time feth-and-add),130,280
1,1990,CRCW PRAM,130,281
4,1990,CRCW PRAM,130,295
10,1990,CRCW PRAM,130,303
10,1990,CRCW PRAM,130,304
10,1990,CRCW PRAM,130,305
,1990,CRCW PRAM,130,346
23,1990,CRCW PRAM,130,347
49,1990,CRCW PRAM,130,357
86,1990,CRCW PRAM,130,374
129,1990,CRCW PRAM,130,378
143,1990,CRCW PRAM,130,380
58,1990,Common CRCW PRAM,132,414
1,1990,SIMD,200,428
1,1990,MIMD,300,472
4,1990,shared memory,300,480
4,1990,shared memory,300,481
4,1990,shared memory,300,482
43,1990,MIMD,300,497
66,1990,(shared memory? no communication),300,501
13,1990,MIMD EREW,310,504
13,1990,MIMD EREW,310,505
14,1990,MIMD EREW,310,506
1,1990,neural network?,510,568
1,1990,neural network,510,569
1,1990,sorting network,510,570
1,1990,sorting network,510,571
1,1990,sorting network,510,572
1,1990,sorting network,510,573
1,1990,sorting network,510,574
1,1990,hardware sorter ?,520,606
18,1990,Not listed (assume MIMD),600,637
19,1990,Not listed (assume MIMD),600,638
13,1990,MIMD hypercube,700,713
18,1990,MIMD and SIMD,700,718
20,1990,hypercube,700,729
43,1990,SIMD,700,752
1,1991,EREW PRAM,110,34
1,1991,EREW PRAM,110,35
13,1991,PRAM-EREW,110,62
13,1991,PRAM-EREW,110,63
13,1991,PRAM-EREW,110,64
16,1991,EREW PRAM,110,94
16,1991,EREW PRAM,110,101
33,1991,EREW PRAM,110,113
33,1991,EREW PRAM,110,114
58,1991,EREW PRAM,110,123
4,1991,CREW PRAM,120,156
13,1991,CREW PRAM,120,193
56,1991,PRAM - CREW,120,238
66,1991,CREW SIMD PRAM,120,253
1,1991,min-CRCW PRAM,130,282
1,1991,CRCW PRAM,130,283
12,1991,CRCW PRAM,130,309
12,1991,CRCW PRAM,130,311
12,1991,CRCW PRAM,130,314
12,1991,CRCW PRAM,130,315
13,1991,PRAM-CRCW,130,322
14,1991,PRAM CRCW,130,329
14,1991,PRAM-CRCW,130,330
33,1991,CRCW PRAM,130,351
33,1991,CRCW PRAM,130,352
33,1991,CRCW PRAM,130,353
50,1991,CRCW PRAM,130,359
1,1991,arbitrary CRCW PRAM,131,384
1,1991,arbitrary-CRCW PRAM,131,385
15,1991,Arbitrary CRCW PRAM,131,396
27,1991,shared memory MIMD,300,496
1,1991,sorting network,510,575
56,1991,PARBS,600,649
58,1991,PARBS,600,650
60.4,1991,maximum neural network (a new proposed model for large scale clique problems),600,651
6,1991,hypercube,700,706
6,1991,array processor (distributed memory SIMD),700,709
9,1991,transputer systems (distributed memory),700,710
1,1992,Parallel RAM,100,4
1,1992,CRCW and EREW PRAM,110,36
1,1992,EREW PRAM,110,37
5,1992,EREW PRAM,110,51
13,1992,EREW PRAM,110,65
13,1992,EREW PRAM,110,66
13,1992,EREW PRAM,110,67
13,1992,EREW PRAM,110,68
14,1992,EREW PRAM,110,77
14,1992,EREW PRAM,110,78
17,1992,PRAM-EREW,110,102
17,1992,PRAM-EREW,110,103
57,1992,EREW PRAM,110,120
11,1992,CREW PRAM,120,169
11,1992,CREW PRAM,120,170
11,1992,CREW PRAM,120,171
12,1992,CREW PRAM,120,184
12,1992,CREW PRAM,120,185
17,1992,PRAM-CREW,120,207
64,1992,CREW PRAM,120,251
73,1992,CREW PRAM,120,259
1,1992,OR CRCW PRAM,130,284
1,1992,OR CRCW PRAM,130,285
1,1992,OR CRCW PRAM,130,286
15,1992,CRCW PRAM,130,334
17,1992,PRAM-CRCW,130,339
17,1992,PRAM-CRCW,130,340
49,1992,CRCW PRAM,130,358
56,1992,CRCW PRAM,130,360
1,1992,arbitrary CRCW PRAM,131,386
3,1992,COMMON CRCW PRAM,132,408
1,1992,MIMD,300,473
43,1992,MIMD,300,498
22,1992,Neural Network?,600,640
6,1992,MIMD hypercubes,700,700
6,1992,SIMD with distributed memory,700,708
20,1992,"MIMD with hierarchical distributed memory (register, cache, local, shared)",700,730
1,1993,PRAM,100,5
10,1993,EREW PRAM,110,53
10,1993,EREW PRAM,110,54
12,1993,EREW PRAM,110,56
13,1993,EREW PRAM,110,69
14,1993,EREW PRAM,110,79
16,1993,EREW PRAM,110,95
16,1993,EREW PRAM,110,96
16,1993,EREW PRAM,110,100
107,1993,EREW PRAM,110,132
3,1993,CREW PRAM,120,153
15,1993,CREW PRAM,120,205
41,1993,CREW PRAM,120,226
